,ID,Number,Address,Latitude,Longitude,DistritoId,DistritoName,BarrioId,BarrioName,CardinalId,CardinalName,RegionId,RegionName
30,32,28,Calle Alcalá nº 27,40.418166299999996,-3.6992599999999998,1,Centro,6,Sol,0,O,4,O
31,33,29,Calle del Marqués de Cubas nº 25,40.4162619,-3.6957355000000005,1,Centro,3,Cortes,3,S,4,S
32,34,30,Calle Pavía nº 6,40.419209499999994,-3.711504,1,Centro,1,Palacio,0,O,0,O
33,35,31,Calle Mayor nº 20,40.4163638,-3.7068969,1,Centro,6,Sol,0,O,0,O
34,36,32,Plaza de la Provincia nº 1,40.4150099,-3.7061032,1,Centro,6,Sol,0,O,0,O
35,37,33,Calle Carretas nº 8,40.4157138,-3.7031807999999997,1,Centro,6,Sol,0,O,4,O
36,38,34,Plaza de Jacinto Benavente,40.4146755,-3.7036824999999998,1,Centro,2,Embajadores,0,O,0,O
37,39,35,Plaza del Cordón nº 1,40.414193100000006,-3.7103285,1,Centro,1,Palacio,0,O,0,O
38,40,36,Plaza de Ramales nº 1,40.4167281,-3.7124038,1,Centro,1,Palacio,0,O,0,O
39,41,37,Plaza de San Francisco nº 5,40.41084420000001,-3.7144964,1,Centro,1,Palacio,0,O,0,O
40,42,38,Carrera de San Francisco nº 1,40.4110406,-3.7120733999999995,1,Centro,1,Palacio,0,O,0,O
41,43,39,Plaza de la Cebada nº 16 ,40.4112744,-3.7088337,1,Centro,1,Palacio,0,O,0,O
42,44,40,Plaza del Conde de Romanones nº 9,40.4138846,-3.7049407,1,Centro,2,Embajadores,0,O,0,O
43,45,41,Calle Atocha nº 54,40.412204700000004,-3.6991147000000004,1,Centro,2,Embajadores,3,S,4,S
44,46,42,Calle Santa Isabel nº 32,40.410708500000005,-3.6982318,1,Centro,2,Embajadores,3,S,3,S
45,47,43,Calle Lavapiés nº 34-36,40.4101564,-3.7025023999999997,1,Centro,2,Embajadores,3,S,3,S
46,48,44,Calle Mesón de Paredes nº 35,40.409761700000004,-3.7040665999999995,1,Centro,2,Embajadores,3,S,3,S
47,49,45,Glorieta de la Puerta de Toledo nº 1,40.407035799999996,-3.7110513,2,Arganzuela,7,Imperial,3,S,3,S
48,50,46,Calle Ribera de Curtidores nº 28,40.4053153,-3.7071259,2,Arganzuela,8,Acacias,3,S,3,S
